Scenario,Model,bin,n,mean_predicted,observed,obs_ci_low,obs_ci_high
With Symptoms,Random Forest,6,565,0.14239433326920917,0.13097345132743363,0.10562945322349773,0.16130161600062173
With Symptoms,Random Forest,7,565,0.18984261184036957,0.1752212389380531,0.14609735923480305,0.20873166331975773
With Symptoms,Random Forest,8,565,0.27525577277930774,0.29557522123893804,0.2594326963433523,0.3344787592700088
With Symptoms,Random Forest,9,565,0.4589771988600359,0.5079646017699115,0.4668272868544232,0.5489943447450563
With Symptoms,Neural Network,0,565,0.006385875288067736,0.005309734513274336,0.0018073977234849903,0.015493484042181177
With Symptoms,Neural Network,1,565,0.014084210402049404,0.024778761061946902,0.014816546072867484,0.041159435158192856
With Symptoms,Neural Network,2,565,0.02321562948181414,0.047787610619469026,0.03304763961649476,0.06863527734639506
With Symptoms,Neural Network,3,565,0.0358876809697152,0.04601769911504425,0.031594591535033516,0.06657240729463865
With Symptoms,Neural Network,4,565,0.054861399683251766,0.08495575221238938,0.06467543609804853,0.11084176166241198
With Symptoms,Neural Network,5,565,0.08046323009156146,0.1079646017699115,0.0849724309054047,0.1362517025868853
With Symptoms,Neural Network,6,565,0.11594696514335409,0.11504424778761062,0.09129456115797337,0.1439932448671872
With Symptoms,Neural Network,7,565,0.17714288862195685,0.16106194690265488,0.13305680760341196,0.1936448698854076
With Symptoms,Neural Network,8,565,0.29343988880479815,0.26548672566371684,0.230746991363173,0.30339385598548807
With Symptoms,Neural Network,9,565,0.6053463692654982,0.5415929203539823,0.5003647790398038,0.5822592970908111
Virtual Maximum,XGBoost,0,565,0.014444795201441839,0.005309734513274336,0.0018073977234849903,0.015493484042181177
Virtual Maximum,XGBoost,1,565,0.025181627319713563,0.012389380530973451,0.006014099981475908,0.025350454317060865
Virtual Maximum,XGBoost,2,565,0.036725455888472786,0.02654867256637168,0.016153697189446207,0.04333820217483178
Virtual Maximum,XGBoost,3,565,0.05084770226241209,0.06548672566371681,0.047881098054697466,0.08896100024036886
Virtual Maximum,XGBoost,4,565,0.0687241755689667,0.06371681415929203,0.04637635210129392,0.08694982806055476
Virtual Maximum,XGBoost,5,565,0.0928774549765924,0.09557522123893805,0.07399167762294953,0.1226210289368169
Virtual Maximum,XGBoost,6,565,0.12711300712771115,0.14513274336283186,0.1184844425189502,0.17657397177091047
Virtual Maximum,XGBoost,7,565,0.17975584070766917,0.1752212389380531,0.14609735923480305,0.20873166331975773
Virtual Maximum,XGBoost,8,565,0.2723134161096758,0.2849557522123894,0.24928521793980438,0.3235307288742509
Virtual Maximum,XGBoost,9,565,0.5224838027384429,0.5256637168141592,0.4844554934004929,0.5665253195311629
Virtual Maximum,Random Forest,0,565,0.01395250489262861,0.0035398230088495575,0.0009712844979627893,0.012813679134485723
Virtual Maximum,Random Forest,1,565,0.02814403290319579,0.01592920353982301,0.008402607664191897,0.029993782900780183
Virtual Maximum,Random Forest,2,565,0.04293045432172846,0.04070796460176991,0.027276761507927058,0.060342482922092155
Virtual Maximum,Random Forest,3,565,0.06001064580114447,0.047787610619469026,0.03304763961649476,0.06863527734639506
Virtual Maximum,Random Forest,4,565,0.08231042704125295,0.07079646017699115,0.052419329827763025,0.09497052286695627
Virtual Maximum,Random Forest,5,565,0.10942812054415954,0.11150442477876106,0.0881294576384964,0.14012651212022886
Virtual Maximum,Random Forest,6,565,0.14239978974321635,0.12920353982300886,0.10402970614832581,0.15938544494257606
Virtual Maximum,Random Forest,7,565,0.19167641773466054,0.17876106194690267,0.1493693347456566,0.2124915240753395
Virtual Maximum,Random Forest,8,565,0.27611789496466704,0.2991150442477876,0.2628205989589533,0.3381226929208431
Virtual Maximum,Random Forest,9,565,0.4600874793963384,0.5026548672566372,0.46154880692255007,0.5437250702772766
Virtual Maximum,Neural Network,0,565,0.007401088648999779,0.007079646017699115,0.0027564800670358347,0.018060319831847985
Virtual Maximum,Neural Network,1,565,0.017469524893312955,0.01592920353982301,0.008402607664191897,0.029993782900780183
Virtual Maximum,Neural Network,2,565,0.028677100871487685,0.033628318584070796,0.02163253600559615,0.051923035891552456
Virtual Maximum,Neural Network,3,565,0.04383849827575836,0.06902654867256637,0.05090272791724331,0.09297120664425831
Virtual Maximum,Neural Network,4,565,0.06422270718141967,0.06902654867256637,0.05090272791724331,0.09297120664425831
Virtual Maximum,Neural Network,5,565,0.090831174826076,0.09734513274336283,0.07555339891854268,0.12457522577444138
Virtual Maximum,Neural Network,6,565,0.1280623081793232,0.11504424778761062,0.09129456115797337,0.1439932448671872
Virtual Maximum,Neural Network,7,565,0.19022857596248063,0.18053097345132743,0.15100702166711075,0.21436975528710298
Virtual Maximum,Neural Network,8,565,0.3039601060944183,0.2743362831858407,0.23916270955212868,0.31255772846262053
Virtual Maximum,Neural Network,9,565,0.6109478952933739,0.5380530973451327,0.496825775872269,0.5787664639919106
