Scenario,Model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,net_benefit_gain_vs_best_default
Without Symptoms,XGBoost,0.22,0.04137508509189926,-0.10256410256410253,0.0,0.04137508509189926
Without Symptoms,XGBoost,0.23,0.04008734628203655,-0.11688311688311687,0.0,0.04008734628203655
Without Symptoms,XGBoost,0.24,0.0376525384257103,-0.13157894736842102,0.0,0.0376525384257103
Without Symptoms,XGBoost,0.25,0.03592920353982301,-0.1466666666666666,0.0,0.03592920353982301
Without Symptoms,XGBoost,0.26,0.03252810332456349,-0.16216216216216217,0.0,0.03252810332456349
Without Symptoms,XGBoost,0.27,0.03223905927991272,-0.1780821917808219,0.0,0.03223905927991272
Without Symptoms,XGBoost,0.28,0.0291937069813176,-0.19444444444444448,0.0,0.0291937069813176
Without Symptoms,XGBoost,0.29,0.027341393493705592,-0.2112676056338028,0.0,0.027341393493705592
Without Symptoms,XGBoost,0.3,0.025815423514538555,-0.2285714285714286,0.0,0.025815423514538555
Without Symptoms,XGBoost,0.31,0.02418622547133513,-0.24637681159420294,0.0,0.02418622547133513
Without Symptoms,XGBoost,0.32,0.023706402915148358,-0.2647058823529412,0.0,0.023706402915148358
Without Symptoms,XGBoost,0.33,0.023053757759873193,-0.28358208955223885,0.0,0.023053757759873193
Without Symptoms,XGBoost,0.34,0.022333065164923564,-0.3030303030303031,0.0,0.022333065164923564
Without Symptoms,XGBoost,0.35,0.019714091218515997,-0.32307692307692304,0.0,0.019714091218515997
Without Symptoms,XGBoost,0.36,0.01841814159292035,-0.34375,0.0,0.01841814159292035
Without Symptoms,XGBoost,0.37,0.019567354965585048,-0.3650793650793651,0.0,0.019567354965585048
Without Symptoms,XGBoost,0.38,0.019040822152440767,-0.3870967741935484,0.0,0.019040822152440767
Without Symptoms,XGBoost,0.39,0.01818076309299289,-0.4098360655737705,0.0,0.01818076309299289
Without Symptoms,XGBoost,0.4,0.01669616519174041,-0.43333333333333335,0.0,0.01669616519174041
Without Symptoms,XGBoost,0.41,0.015443227838608072,-0.4576271186440676,0.0,0.015443227838608072
Without Symptoms,XGBoost,0.42,0.014763503204150139,-0.482758620689655,0.0,0.014763503204150139
Without Symptoms,XGBoost,0.43,0.013510324483775815,-0.5087719298245613,0.0,0.013510324483775815
Without Symptoms,XGBoost,0.44,0.014437420986093553,-0.5357142857142857,0.0,0.014437420986093553
Without Symptoms,XGBoost,0.45,0.013547868061142398,-0.5636363636363636,0.0,0.013547868061142398
Without Symptoms,XGBoost,0.46,0.012671255326122583,-0.5925925925925926,0.0,0.012671255326122583
Without Symptoms,XGBoost,0.47,0.012623142427784274,-0.6226415094339621,0.0,0.012623142427784274
Without Symptoms,XGBoost,0.48,0.011817562968005447,-0.6538461538461537,0.0,0.011817562968005447
Without Symptoms,XGBoost,0.49,0.011351726531320496,-0.6862745098039215,0.0,0.011351726531320496
Without Symptoms,XGBoost,0.5,0.011327433628318583,-0.72,0.0,0.011327433628318583
Without Symptoms,Random Forest,0.02,0.12339895250135453,0.12244897959183675,0.0,0.0009499729095177878
Without Symptoms,Random Forest,0.03,0.11622479700757231,0.11340206185567012,0.0,0.002822735151902192
Without Symptoms,Random Forest,0.04,0.10939528023598818,0.10416666666666669,0.0,0.0052286135693215
Without Symptoms,Random Forest,0.05,0.10108057755006986,0.09473684210526317,0.0,0.006343735444806681
Without Symptoms,Random Forest,0.06,0.09540576162681227,0.08510638297872342,0.0,0.010299378648088858
Without Symptoms,Random Forest,0.07,0.09018936149966694,0.07526881720430108,0.0,0.014920544295365865
Without Symptoms,Random Forest,0.08,0.0853020392458638,0.06521739130434784,0.0,0.02008464794151596
Without Symptoms,Random Forest,0.09,0.0820480404551201,0.05494505494505496,0.0,0.02710298551006514
Without Symptoms,Random Forest,0.1,0.07891838741396263,0.04444444444444445,0.0,0.03447394296951818
Without Symptoms,Random Forest,0.11,0.07373968380232673,0.03370786516853934,0.0,0.040031818633787394
Without Symptoms,Random Forest,0.12,0.06976669348350764,0.02272727272727275,0.0,0.04703942075623489
Without Symptoms,Random Forest,0.13,0.06529142508391822,0.011494252873563232,0.0,0.05379717221035499
Without Symptoms,Random Forest,0.14,0.06256431364478286,0.0,0.0,0.06256431364478286
Without Symptoms,Random Forest,0.15,0.05870900572618428,-0.011764705882352927,0.0,0.05870900572618428
Without Symptoms,Random Forest,0.16,0.05682258744205646,-0.023809523809523808,0.0,0.05682258744205646
Without Symptoms,Random Forest,0.17,0.052474677470945724,-0.03614457831325302,0.0,0.052474677470945724
Without Symptoms,Random Forest,0.18,0.049708612130369104,-0.04878048780487801,0.0,0.049708612130369104
Without Symptoms,Random Forest,0.19,0.046078881241123124,-0.061728395061728364,0.0,0.046078881241123124
Without Symptoms,Random Forest,0.2,0.0452212389380531,-0.07499999999999998,0.0,0.0452212389380531
Without Symptoms,Random Forest,0.21,0.042726559874537925,-0.08860759493670883,0.0,0.042726559874537925
Without Symptoms,Random Forest,0.22,0.03980939414567733,-0.10256410256410253,0.0,0.03980939414567733
Without Symptoms,Random Forest,0.23,0.037283070911389486,-0.11688311688311687,0.0,0.037283070911389486
Without Symptoms,Random Forest,0.24,0.03612482533768048,-0.13157894736842102,0.0,0.03612482533768048
