Scenario,Model,threshold,n_flagged,pct_flagged,sensitivity,sens_ci_low,sens_ci_high,specificity,spec_ci_low,spec_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high,tp,fp,fn,tn,is_youden
Without Symptoms,Random Forest,0.4,323,5.716814159292036,0.23388116308470291,0.19864177021729018,0.2725055174674947,0.9715990944638815,0.9659349131618713,0.9766687252545725,0.5727554179566563,0.5085759691709759,0.632810236370568,0.886239909892998,0.8750229390175043,0.8963596785835631,185,138,606,4721,False
Without Symptoms,Random Forest,0.5,143,2.5309734513274336,0.1213653603034134,0.09503774444018405,0.15097075709388294,0.9903272278246553,0.987050293153635,0.99324976795659,0.6713286713286714,0.5813874921433061,0.7581740196078431,0.8737969856546214,0.8630824803795186,0.8840537213811634,96,47,695,4812,False
Without Symptoms,Neural Network,0.1,3128,55.36283185840708,0.854614412136536,0.8236004164646236,0.8843822335861153,0.49536941757563285,0.4765528414049132,0.5130437886931688,0.21611253196930946,0.19871572321229072,0.2342615178563756,0.9544012688342586,0.9443140455547473,0.963963484605119,676,2452,115,2407,False
Without Symptoms,Neural Network,0.15,2384,42.19469026548673,0.7484197218710493,0.7112284019687931,0.782554478415776,0.6311998353570694,0.611787986197844,0.6480019908542938,0.2483221476510067,0.22651978082565766,0.26934850913418706,0.9390691977954685,0.929663562796394,0.9489615789875698,592,1792,199,3067,False
Without Symptoms,Neural Network,0.2,1801,31.87610619469027,0.6890012642225032,0.651067948533898,0.7288094326503309,0.7415105988886602,0.7243938250691189,0.7564078251971135,0.3026096612992782,0.2775589378537186,0.3278355137793743,0.936087295401403,0.9259714474301272,0.9453349944244895,545,1256,246,3603,False
Without Symptoms,Neural Network,0.214,1661,29.398230088495573,0.6700379266750948,0.6311746406132449,0.7110866576427237,0.7672360568018111,0.7522446426055942,0.7823798690895083,0.31908488862131246,0.29206889438943895,0.34461448477639034,0.9345700676861369,0.924884119378368,0.9443213172614111,530,1131,261,3728,True
Without Symptoms,Neural Network,0.25,1349,23.876106194690266,0.6055625790139064,0.5641409924577663,0.6454440354202724,0.82095081292447,0.8063001325728036,0.8347220721817906,0.35507783543365457,0.32298141606223457,0.3842969022285093,0.9274587305277843,0.9177218341736523,0.9372970874825999,479,870,312,3989,False
Without Symptoms,Neural Network,0.3,988,17.486725663716815,0.48672566371681414,0.4432848317530719,0.529920049200492,0.8759003910269603,0.8634775355325464,0.887764321980899,0.3896761133603239,0.3531187563971341,0.42596723563081523,0.9129129129129129,0.9029683856097231,0.9227761776821736,385,603,406,4256,False
Without Symptoms,Neural Network,0.4,596,10.548672566371682,0.3527180783817952,0.3122679183660834,0.3924876723986884,0.9347602387322494,0.92543613984719,0.9422004619155354,0.46812080536912754,0.4182561425273097,0.51516065830721,0.8986941036802533,0.8879002676100096,0.9090566059496085,279,317,512,4542,False
Without Symptoms,Neural Network,0.5,352,6.230088495575221,0.2579013906447535,0.22125724573701142,0.2970338073348151,0.9695410578308293,0.9635818603382433,0.9751795243019649,0.5795454545454546,0.5184131240111041,0.6434328010257606,0.8892034730086825,0.8784803476260548,0.8992397227413661,204,148,587,4711,False
With Symptoms,Stepwise LR,0.1,2366,41.876106194690266,0.8116308470290771,0.7750225996693821,0.8444583333333333,0.6451944844618234,0.6261269033841671,0.6619690261668048,0.2713440405748098,0.24934646289814152,0.293801239435168,0.9546285018270402,0.9461158955149639,0.9627457500150723,642,1724,149,3135,False
With Symptoms,Stepwise LR,0.116,2097,37.11504424778761,0.7876106194690266,0.7535335544879127,0.8212756961827284,0.6966454002881252,0.6789907360295695,0.7120615088228724,0.29709108249880783,0.27272515066632713,0.3208000660105726,0.9527160146355192,0.9443473064216025,0.9606407803862067,623,1474,168,3385,True
With Symptoms,Stepwise LR,0.15,1671,29.575221238938056,0.6978508217446271,0.6630821210431609,0.7358756489806255,0.7697057007614736,0.7543309486259117,0.7841016080930835,0.3303411131059246,0.3046710451007326,0.35628086980525603,0.9399346569489822,0.9310859692665153,0.9489495226056821,552,1119,239,3740,False
With Symptoms,Stepwise LR,0.2,1218,21.557522123893804,0.6055625790139064,0.5678692022601416,0.6462974908303626,0.8479110928174521,0.8346197935789965,0.8593790897111429,0.39326765188834156,0.35947826304969166,0.4239873145204028,0.9296028880866426,0.9205876814318514,0.9384383814889454,479,739,312,4120,False
With Symptoms,Stepwise LR,0.25,910,16.10619469026549,0.5082174462705437,0.46748676020965274,0.546711210974456,0.8954517390409549,0.8840309139660847,0.9057074691287975,0.44175824175824174,0.40327690458753496,0.4780745910368326,0.9179324894514768,0.9081381072944003,0.9271615524579633,402,508,389,4351,False
With Symptoms,Stepwise LR,0.3,727,12.867256637168142,0.43742098609355246,0.3973993456101346,0.47764813957078894,0.9215888042807162,0.9119398324259156,0.9300185458526462,0.4759284731774415,0.4331509454765974,0.5174024567473312,0.909607962624416,0.8998555149127105,0.9192542170201983,346,381,445,4478,False
